#{"t_start": 1650220239.9186788, "env_id": "BipedalWalker-v3"}
r,l,t
-95.521055,131,1.794649
-13.696938,1600,17.135662
-16.534432,1600,32.49305
-19.574895,1600,47.504959
-27.582709,1600,62.748941
-22.427406,1600,77.7724
-22.242473,1600,93.564558
-93.845076,91,94.544602
-118.13477,102,95.575108
-87.276894,166,97.215774
-87.044466,182,99.153762
-94.658753,142,100.64261
-89.453153,139,102.042295
-111.713587,81,102.88995
-104.681794,683,109.993867
-95.017394,181,111.786418
-92.259721,140,113.355468
-92.623985,105,114.478359
-90.212214,145,115.935448
-90.200896,215,118.169793
-89.369443,114,119.368371
-92.137742,218,121.602068
-116.263948,122,122.815741
-92.515245,104,123.873139
-117.294961,141,125.250105
-93.520389,299,128.240364
-94.635578,124,129.465578
-92.119057,124,130.705055
-98.031557,110,131.787395
-94.14714,99,132.784801
-97.274997,111,133.889745
-103.900987,71,134.599477
-92.472227,146,135.987432
-121.205364,140,137.385511
-91.658122,126,138.653912
-98.826511,536,143.973773
-100.001845,214,146.025862
-117.561741,358,149.464937
-109.840742,177,151.232072
-117.377171,281,154.0718
-96.136142,106,155.100769
-96.972121,330,158.344581
-98.013501,259,160.860651
-103.566648,288,163.691054
-102.368193,147,165.065146
-107.167647,435,169.243932
-111.236936,174,171.028105
-105.07803,139,172.386946
-106.705854,386,176.236119
-103.811201,261,178.819048
-125.843806,117,180.002326
-96.621539,153,181.563832
-99.922385,338,184.799209
-77.394854,563,190.369692
-88.331187,307,193.39747
-87.319181,231,195.71091
-41.44479,1044,206.06199
44.15922,1600,221.862511
-99.204676,74,222.656258
-92.987978,89,223.72073
-111.80571,80,224.72107
-97.916148,73,225.510932
-104.423519,50,226.004001
-101.252868,60,226.625844
-105.161776,51,227.143075
-109.988405,124,228.398099
-107.969922,47,228.958562
-106.334228,48,229.49158
-108.632603,45,229.987287
-105.370588,734,236.95821
-91.275375,170,238.743493
-89.43848,116,239.920433
-5.258161,1600,255.594765
-19.872846,1600,270.717311
-108.334489,48,271.25315
-29.60289,1600,286.042487
-115.583175,57,286.532893
-26.882664,1600,301.340215
-22.402465,1600,350.296162
-18.721004,1600,361.849256
-20.853078,1600,373.398076
-17.615969,1600,384.865422
-20.61317,1600,395.724932
-26.471334,1600,406.444861
-23.999896,1600,417.103176
