#{"t_start": 1650220239.9028277, "env_id": "BipedalWalker-v3"}
r,l,t
-103.641693,144,1.9259
-20.552011,1600,17.258006
-15.532181,1600,32.649635
-21.189194,1600,47.64403
-130.060632,126,48.832985
-105.970366,142,50.235535
-21.615711,1600,65.499892
-26.668615,1600,80.469139
-97.053438,88,81.269695
-99.098469,70,82.001124
-99.855693,70,82.717309
-98.249667,99,83.690871
-94.477902,86,84.51511
-97.978202,69,85.167862
-95.330687,89,86.101919
-94.441197,82,86.92726
-98.646968,96,87.908888
-30.837793,1600,104.177261
-90.18469,106,105.201832
-106.702982,65,105.860126
-116.983516,203,107.970196
-106.738758,48,108.447615
-95.258572,146,110.154036
-96.353981,148,111.607966
-123.656331,142,113.16975
-93.682283,160,114.836284
-98.275775,175,116.636563
-94.941129,175,118.438512
-92.2942,121,119.720116
-89.22654,128,121.012584
-89.886781,196,122.99071
-95.541393,309,126.023921
-111.47636,917,135.176091
-91.750389,129,136.446589
-97.307867,239,138.830611
-125.395669,1062,149.189238
-108.19752,657,155.724467
-97.385779,259,158.274066
-99.595832,495,163.095181
-126.340041,161,164.658774
-107.705365,529,169.789432
-108.184154,106,170.842062
-102.061508,163,172.434811
-130.232433,212,174.605079
-102.579114,117,175.774195
-124.235968,259,178.28736
-109.852245,143,179.720402
-96.072995,84,180.59706
-99.156171,202,182.606413
-98.024312,282,185.274898
-72.812846,890,194.108302
-94.5302,143,195.535716
-87.073057,514,200.546312
-78.652228,324,203.760133
-92.236037,171,205.549325
30.615334,1600,221.361932
-84.612476,100,222.385517
-108.542829,47,222.847397
-93.622505,81,223.860749
-98.874126,69,224.707297
-105.499594,80,225.583392
-103.163906,59,226.156367
-103.294357,56,226.738347
-95.310156,80,227.579424
-106.699352,51,228.076082
-103.670926,55,228.686182
-105.432701,52,229.256647
-103.473572,69,230.027476
-110.136756,815,237.836407
-22.279152,795,245.857731
-122.877392,103,246.851389
-27.719755,1600,262.027787
-27.461725,1600,277.313403
-27.02822,1600,291.981637
-20.570701,1600,350.273152
-18.708549,1600,361.835404
-17.009756,1600,373.383314
-17.295767,1600,384.85117
-20.63117,1600,395.714382
-20.128426,1600,406.433029
-17.563106,1600,417.092098
