#{"t_start": 1650220239.905791, "env_id": "BipedalWalker-v3"}
r,l,t
-23.946338,1600,15.870599
-17.586854,1600,31.127125
-18.198147,1600,46.183489
-16.030209,1600,61.377885
-19.859929,1600,76.503624
-18.797002,1600,92.16521
-93.594856,100,93.192325
-116.883507,89,94.17284
-95.350387,71,94.932814
-87.823972,207,96.98737
-94.801737,307,100.204752
-92.028206,228,102.584907
-90.209959,158,104.157126
-90.644865,158,105.725165
-116.389733,76,106.448902
-85.62406,153,108.112438
-100.670674,71,108.884392
-102.886055,70,109.67298
-121.135683,151,111.262981
-99.198166,97,112.239771
-119.057651,155,113.909761
-115.623209,157,115.563246
-115.695375,177,117.365661
-89.827574,139,118.786067
-89.527384,134,120.199091
-87.494134,145,121.690462
-89.821384,144,123.135767
-90.684343,149,124.631667
-114.362472,137,125.932667
-98.501445,194,127.855604
-94.70059,132,129.140613
-119.051281,106,130.29616
-116.95639,95,131.183185
-97.908757,119,132.423824
-97.263923,143,133.830177
-86.459958,134,135.139119
-90.677392,111,136.234995
-106.94433,79,136.97346
-94.413,109,138.050592
-121.327662,1166,149.48896
-127.234798,764,157.134527
-108.18018,564,162.540509
-105.21422,263,165.122286
-110.525326,471,169.710335
-105.225793,227,171.979389
-106.254779,99,173.001341
-105.585266,156,174.532107
-104.585896,103,175.564109
-113.689876,405,179.535018
-94.997915,92,180.49578
-124.172442,100,181.499038
-74.582859,1219,193.443464
-80.680017,285,196.30747
-84.63082,190,198.086322
-80.946171,476,202.76741
-74.972511,354,206.44575
-65.679377,1032,216.68567
-94.148734,629,222.868259
-96.889461,63,223.652341
-113.678514,84,224.690452
-82.776613,173,226.529593
-79.827301,172,228.255959
-103.588693,52,228.846471
-106.912498,51,229.419648
-106.527002,51,229.98203
-119.78419,124,231.170378
-101.244543,696,237.849674
-95.297717,170,239.63032
-69.427099,1226,251.663885
-29.652153,1600,266.797668
-28.052494,1600,281.84864
-30.844224,1600,296.594426
-35.891466,1600,350.276508
-18.834857,1600,361.838318
-17.386823,1600,373.386564
-16.012614,1600,384.853716
-17.500067,1600,395.716635
-30.373444,1600,406.435394
-21.391304,1600,417.094656
