#{"t_start": 1650220239.8797772, "env_id": "BipedalWalker-v3"}
r,l,t
-23.816591,1600,15.853125
-16.415995,1600,31.110244
-16.03671,1600,46.170392
-20.14549,1600,61.356808
-101.254673,125,62.713915
-98.430829,95,63.663497
-29.180621,1600,78.680111
-96.929427,161,80.151261
-96.253877,77,80.908345
-97.070686,68,81.586383
-95.235113,68,82.246015
-94.522959,75,83.012166
-95.819463,78,83.781955
-98.476013,143,85.148466
-97.640938,75,85.93976
-95.52971,112,87.067805
-96.646014,85,87.941689
-98.723449,132,89.21621
-97.335815,119,90.407177
-95.384755,175,92.032397
-96.285612,77,92.845208
-95.98879,91,93.849894
-116.001907,92,94.829507
-95.839419,166,96.496867
-89.239236,239,99.004184
-90.184392,141,100.430847
-120.927877,151,102.00422
-118.171499,166,103.701174
-90.039987,174,105.384194
-117.667213,115,106.532163
-88.723705,167,108.324757
-102.157858,188,110.422895
-93.064801,164,112.081933
-103.554553,641,118.768397
-93.5829,93,119.774666
-90.583552,117,120.950287
-90.653835,121,122.161891
-114.865152,146,123.683402
-118.414515,186,125.491124
-92.539448,245,127.89826
-126.005743,193,129.858495
-93.219709,127,131.098266
-97.331186,114,132.289568
-92.677838,113,133.414338
-120.627942,140,134.779275
-113.819698,84,135.607313
-89.307408,116,136.702914
-115.879952,102,137.711734
-89.542319,189,139.680926
-95.867649,83,140.510195
-117.70174,100,141.523427
-96.901084,75,142.263618
-94.033699,118,143.424996
-97.270198,467,147.794502
-102.036466,159,149.379933
-99.001365,72,150.132239
-122.684501,561,155.689173
-107.310648,898,164.391332
-102.595854,107,165.443558
-97.773166,307,168.35711
-100.134117,166,170.077879
-108.884058,91,170.990507
-98.558045,136,172.326961
-98.013036,167,174.033472
-125.957951,155,175.581487
-100.441896,268,178.195031
-129.554874,140,179.589165
-112.32309,556,185.03047
-97.131421,233,187.322649
-70.786523,624,193.515419
-81.596515,242,195.921856
-89.248697,447,200.302978
-90.244877,242,202.634939
-77.287869,239,205.124341
-87.307693,184,206.961083
-89.550972,798,214.818591
-79.604788,211,217.011633
-86.831116,545,222.348539
-110.467322,67,223.117559
-105.279803,53,223.723244
-95.458496,79,224.69322
-94.284013,86,225.661017
-107.156172,50,226.131321
-90.814737,94,227.1055
-107.653827,49,227.623204
-105.582267,53,228.129716
-105.84565,52,228.719174
-106.430683,50,229.257642
-108.312913,50,229.854695
-87.120105,808,237.585663
-77.108144,229,239.947585
-88.823188,159,241.544035
-85.650718,186,243.423089
-107.697384,118,244.553433
-110.030431,175,246.280706
-104.775721,879,254.780075
-3.406782,1600,269.904829
-123.980005,139,271.362324
-29.831379,1600,286.155715
-36.01878,1600,300.946303
-19.665677,1600,350.245297
-18.232697,1600,361.808364
-22.539346,1600,373.356211
-17.658538,1600,384.827876
-24.164577,1600,395.689445
-21.133791,1600,406.410905
-20.149966,1600,417.063566
