#{"t_start": 1650220239.882936, "env_id": "BipedalWalker-v3"}
r,l,t
-108.186214,72,1.215631
-113.940965,85,2.060693
-21.589874,1600,17.395162
-22.081808,1600,32.791963
-129.486534,188,34.625004
-21.665064,1600,49.593657
-20.401644,1600,64.864104
-28.136227,1600,79.83374
-96.741013,77,80.575732
-95.796423,107,81.629305
-94.446315,102,82.647225
-98.46783,108,83.702771
-95.50753,91,84.589587
-96.811245,84,85.451973
-99.024867,92,86.39643
-96.553635,114,87.530247
-97.889914,67,88.162576
-96.42385,127,89.456823
-96.638623,84,90.213022
-95.334741,74,90.918661
-95.252617,74,91.626921
-120.359365,1504,107.119771
-95.439035,166,108.85753
-43.946486,1600,125.410022
-118.173496,138,126.786839
-89.637019,102,127.770447
-93.982876,101,128.776027
-92.982721,149,130.332817
-97.129169,124,131.544088
-98.421567,125,132.781068
-95.035004,83,133.621444
-102.13006,89,134.516811
-93.256243,95,135.45382
-102.984046,72,136.088601
-91.985459,144,137.53485
-97.026586,77,138.323141
-100.293796,484,143.15282
-116.317712,1163,154.530714
-100.581756,399,158.443002
-116.000093,736,165.553602
-109.449238,463,170.089284
-100.215452,124,171.306779
-103.382021,145,172.815085
-114.178734,175,174.539067
-107.993752,73,175.211258
-96.201714,166,176.87589
-97.746904,98,177.866343
-123.554127,112,178.94368
-96.640591,95,179.916229
-98.431378,196,181.879123
-112.183106,326,185.007082
-73.047301,954,194.511604
-81.844869,478,199.191904
-58.735177,583,204.971155
-77.995182,503,209.878767
-78.07499,531,215.264477
-79.448282,790,223.197272
-103.971244,74,224.017065
-110.96652,96,225.161326
-99.314255,62,225.83295
-93.627566,81,226.649916
-103.072859,55,227.208815
-103.95986,57,227.806533
-106.072251,52,228.316421
-105.429118,52,228.918214
-77.821456,796,236.652033
-85.575436,117,237.808146
-70.620803,280,240.702459
-95.64755,216,242.860373
-84.025245,1499,257.368969
-95.56976,71,258.064241
-101.132232,56,258.535188
-37.881653,1600,273.778919
-32.63517,1600,288.422874
-26.768934,1600,303.381206
-100.48726,84,304.183476
-17.486771,1600,350.248406
-17.517975,1600,361.812053
-18.950776,1600,373.359234
-35.828732,1600,384.830809
-20.084166,1600,395.69204
-16.212428,1600,406.413535
-17.049053,1600,417.06635
