#{"t_start": 1650220239.9213147, "env_id": "BipedalWalker-v3"}
r,l,t
-32.045945,1600,15.880459
-16.798494,1600,31.13759
-18.697488,1600,46.189564
-20.084172,1600,61.381721
-21.064693,1600,76.499385
-98.860164,150,77.945093
-105.628136,68,78.62265
-96.682551,106,79.611345
-95.027821,87,80.440225
-96.784211,116,81.57048
-94.833157,80,82.38277
-98.721136,75,83.105586
-95.910481,82,83.888864
-94.633656,84,84.71278
-95.0366,98,85.722574
-116.093043,134,87.073009
-98.931885,108,88.149738
-95.740679,110,89.223976
-96.849964,70,89.897553
-114.668694,133,91.199858
-95.815546,73,91.867102
-94.440936,102,92.923121
-94.656524,84,93.862435
-94.462108,93,94.853626
-95.725531,72,95.586017
-98.842362,402,99.753344
-96.616977,138,101.145581
-94.900158,170,102.90585
-97.69706,388,106.815759
-91.35606,107,107.912037
-92.555502,129,109.357221
-114.925836,127,110.677934
-91.44366,182,112.589087
-117.955726,86,113.512007
-117.184294,134,114.915035
-118.024153,138,116.361892
-96.692207,227,118.660349
-88.88056,128,120.000292
-89.472127,126,121.314515
-95.811115,107,122.407921
-93.301461,100,123.43404
-90.532625,135,124.736703
-90.601327,121,125.888212
-102.022492,224,128.103824
-91.181612,129,129.421752
-97.42773,98,130.430391
-101.125192,104,131.464941
-97.566628,83,132.313069
-93.792326,104,133.343205
-119.398357,97,134.319324
-98.130482,171,135.934874
-91.834927,154,137.460194
-90.077534,137,138.859158
-96.955277,68,139.57613
-96.152761,75,140.341458
-97.541063,538,145.525863
-104.637563,359,149.002988
-101.131892,77,149.727571
-102.111755,87,150.605834
-96.82503,409,154.684946
-96.695239,145,156.164832
-100.617923,250,158.57584
-100.402462,401,162.447809
-127.858608,464,166.927383
-103.127066,270,169.594244
-109.239152,154,171.134747
-109.325218,71,171.847986
-110.112813,90,172.787768
-102.257154,103,173.802658
-128.883084,183,175.633069
-100.075765,403,179.583773
-99.732374,112,180.723877
-74.711162,1262,193.046559
-77.910864,980,202.716794
-86.111069,186,204.681045
-90.775802,144,206.18063
-78.915385,867,214.645566
-98.687419,76,215.48526
-82.640255,682,222.208702
-97.465125,94,223.303846
-106.660029,50,223.871599
-99.112361,60,224.601095
-62.164433,211,226.81657
-112.195837,87,227.731446
-105.014873,50,228.201204
-108.829179,56,228.845489
-104.306469,49,229.393425
-103.498118,57,230.028668
-108.219813,48,230.45811
-107.463956,58,231.033825
-92.495721,803,238.83398
-95.750083,75,239.60376
27.645301,1600,255.29179
-82.059444,414,259.139768
-32.867445,1600,274.400278
-27.566213,1600,289.012959
-132.805272,196,290.899433
-23.758231,1600,350.299958
-30.014968,1600,361.852946
-17.718828,1600,373.401749
-36.767485,1600,384.868517
-17.581137,1600,395.727781
-36.959288,1600,406.447823
-16.86428,1600,417.10619
