#{"t_start": 1650220239.8916693, "env_id": "BipedalWalker-v3"}
r,l,t
-24.052947,1600,15.858135
-21.429675,1600,31.116384
-15.329762,1600,46.175404
-24.005256,1600,61.367444
-19.005874,1600,76.500902
-16.867252,1600,92.165823
-95.467061,77,92.962702
-99.270368,72,93.772234
-92.106241,341,97.233702
-120.524894,134,98.699177
-96.086171,85,99.61435
-101.277662,78,100.351398
-123.689361,250,102.961195
-117.909055,159,104.502472
-100.737131,142,105.938143
-84.638215,127,107.268071
-95.099302,75,108.036872
-92.393141,84,108.97867
-97.332097,175,110.825728
-121.640993,149,112.383874
-107.039897,629,118.92105
-92.754486,120,120.183953
-112.592728,107,121.313379
-115.927552,139,122.692483
-98.095688,130,124.013674
-91.220441,150,125.491206
-93.489881,230,127.735944
-94.165713,189,129.672788
-111.173115,974,139.38547
-97.961433,381,143.118061
-93.475398,89,143.975964
-116.99711,1140,155.150293
-99.408873,86,156.030586
-101.373645,273,158.667882
-105.185113,373,162.273804
-98.080511,234,164.508872
-119.800192,415,168.54012
-102.501899,170,170.238745
-103.419388,87,171.111554
-106.575179,101,172.12685
-107.415708,162,173.777711
-105.692273,99,174.754249
-101.30539,514,179.825911
-93.792546,592,185.627961
-80.635034,775,193.290292
-84.090637,239,195.671162
-53.434654,734,202.820023
-88.378047,180,204.727854
-88.982829,142,206.200877
-76.624536,763,213.56766
-80.807105,194,215.65816
-57.546641,697,222.551626
-100.604489,67,223.35924
-97.018104,72,224.129909
-105.574474,51,224.840871
-110.189646,92,225.795751
-84.913242,103,226.826338
-93.230357,78,227.652781
-103.37616,55,228.177588
-105.477427,53,228.776051
-110.897498,82,229.750144
-88.641173,217,231.788126
-87.335703,129,233.091302
-90.366858,591,238.810768
-76.242024,244,241.239331
13.639474,1600,256.815979
-95.399385,73,257.515467
-107.939531,44,257.953706
-88.000371,163,259.452086
-91.406714,149,260.842912
-93.623857,136,262.064489
-31.127877,1600,277.345926
-32.034078,1600,292.010141
-95.933962,143,293.325004
-25.741089,1600,350.259062
-29.995261,1600,361.823148
-14.963052,1600,373.369233
-18.733497,1600,384.839948
-27.264615,1600,395.700152
-17.652898,1600,406.422175
-18.167907,1600,417.074789
