#{"t_start": 1650220239.8998277, "env_id": "BipedalWalker-v3"}
r,l,t
-27.696023,1600,15.869437
-17.412856,1600,31.126932
-20.033399,1600,46.183329
-19.66269,1600,61.377346
-29.867945,1600,76.503816
-95.78332,87,77.348116
-99.527113,140,78.730473
-97.073314,97,79.625112
-96.535915,107,80.643702
-98.127779,67,81.245605
-94.02268,85,82.123686
-98.850545,72,82.848625
-96.100595,72,83.581788
-97.998696,64,84.138208
-97.669743,81,84.954379
-96.608531,75,85.753767
-98.13027,130,87.056803
-97.196382,64,87.714202
-19.522609,1600,103.965533
-43.684282,1600,120.672384
-117.950209,156,122.201427
-119.040519,158,123.831767
-91.387912,143,125.174507
-119.479236,99,126.15794
-89.047198,141,127.593884
-98.933615,93,128.515598
-94.273513,123,129.767566
-121.686472,900,138.697656
-109.245283,1046,148.858085
-98.416799,772,156.58246
-96.204997,218,158.713589
-103.363733,341,162.028883
-101.0444,144,163.423951
-107.801791,212,165.447813
-118.076843,107,166.46075
-99.682238,345,169.875252
-108.306637,76,170.626778
-109.565168,112,171.75674
-104.131719,95,172.73248
-103.670463,116,173.882896
-108.122231,90,174.77147
-103.952193,169,176.389131
-126.616879,168,178.079335
-114.195392,152,179.586698
-95.724819,80,180.36095
-95.064308,401,184.310984
-92.442437,352,187.699848
-91.161406,593,193.628348
-81.407265,672,200.253813
-43.139542,579,206.057199
-71.004809,942,215.408952
-72.790674,744,222.777281
-101.502535,61,223.53613
-107.766469,72,224.416788
-92.268816,87,225.327959
-77.750736,165,227.07291
-109.117819,76,227.866671
-105.602066,52,228.371331
-107.604346,51,228.966581
-104.10533,54,229.573983
-107.478063,50,230.116754
-98.555526,948,239.285886
-86.05697,145,240.785975
-112.453752,377,244.515476
-124.614511,106,245.624578
-116.10005,94,246.546219
-10.131318,1600,261.736821
-31.208541,1600,277.012549
-28.693609,1600,291.680604
-17.564789,1600,350.26985
-17.703131,1600,361.83249
-24.075351,1600,373.379982
-18.184443,1600,384.848717
-23.841166,1600,395.711869
-20.242884,1600,406.430583
-19.291116,1600,417.083382
