#{"t_start": 1650220239.874474, "env_id": "BipedalWalker-v3"}
r,l,t
-26.979545,1600,15.85269
-16.530625,1600,31.109653
-15.178299,1600,46.167903
-22.185672,1600,61.35553
-97.271508,86,62.282646
-26.180773,1600,77.346382
-26.209944,1600,93.073753
-99.074596,82,93.989166
-96.326152,74,94.771291
-95.115651,158,96.325111
-89.841278,310,99.645319
-90.198821,167,101.298505
-92.243776,133,102.682595
-91.604168,146,104.140779
-94.636587,127,105.368723
-102.589159,152,106.981292
-95.918613,101,108.007628
-121.514846,131,109.483358
-108.287219,53,110.067989
-121.052766,132,111.410061
-118.177997,118,112.660537
-119.074016,115,113.856031
-116.723105,171,115.673012
-118.325725,1247,128.300432
-91.386021,117,129.434354
-118.102343,112,130.576209
-115.034498,873,139.29393
-95.853611,75,140.015538
-97.056765,69,140.7069
-96.071907,84,141.565852
-94.089464,125,142.758529
-92.652789,111,143.828008
-107.625844,634,149.971178
-125.755303,644,156.376994
-100.721593,500,161.216144
-104.198132,345,164.519113
-99.820746,141,165.96009
-118.997214,488,170.70239
-116.169366,129,172.000198
-107.183216,96,172.985244
-114.321418,168,174.662546
-99.767439,479,179.315591
-119.355096,152,180.924304
-97.50035,129,182.165694
-89.914294,450,186.551678
-70.325071,727,193.739082
-79.253453,966,203.293965
-44.342587,1160,214.771429
-72.928851,235,217.266497
-97.074434,586,222.983001
-95.934668,69,223.858157
-97.711102,76,224.809075
-95.304763,77,225.634538
-78.227356,176,227.376867
-105.156806,53,227.96808
-106.984895,50,228.456965
-105.820637,49,229.043763
-107.024293,49,229.583925
-106.191457,49,230.116823
-109.207957,48,230.541857
-80.367295,647,236.72174
-86.657547,268,239.495857
-3.137182,1600,255.178329
-17.231196,1600,270.285662
-95.670472,158,271.851199
-29.804714,1600,286.618387
-27.554198,1600,301.430623
-18.900848,1600,350.244126
-17.075257,1600,361.806762
-17.447944,1600,373.355238
-18.92066,1600,384.820028
-18.266033,1600,395.68874
-36.805559,1600,406.410154
-20.162202,1600,417.062757
