#{"t_start": 1650220239.8887684, "env_id": "BipedalWalker-v3"}
r,l,t
-19.634682,1600,15.855636
-16.268881,1600,31.112998
-20.621815,1600,46.172904
-22.218928,1600,61.362951
-29.763148,1600,76.498027
-23.184731,1600,92.162355
-93.605037,92,93.131832
-94.224889,82,94.038052
-117.787302,116,95.237227
-114.489394,1110,106.530324
-85.616767,162,108.269217
-100.173296,88,109.290283
-122.192957,201,111.384607
-88.597915,169,113.201937
-95.503692,81,114.087981
-92.28047,114,115.261597
-92.389529,152,116.776412
-112.400499,81,117.618459
-93.873587,103,118.662531
-89.166473,147,120.205505
-90.635308,136,121.609416
-91.420676,150,123.107966
-103.196446,258,125.67098
-91.119798,240,128.018957
-93.697968,125,129.299192
-100.579489,150,130.810348
-104.593302,126,132.048746
-121.29624,206,134.100233
-101.655725,77,134.86855
-91.808701,144,136.277864
-94.380638,93,137.195119
-94.230881,123,138.435059
-95.473199,82,139.310332
-97.00867,67,139.948876
-96.731741,70,140.648697
-147.847829,1531,155.632071
-103.827895,583,161.323139
-98.806464,289,164.12023
-100.37333,97,165.055895
-103.324459,492,169.857783
-108.139614,268,172.565173
-122.267885,170,174.217275
-114.702946,286,177.057386
-127.568414,176,178.781634
-134.498537,183,180.658235
-70.757305,1329,193.70449
-83.475034,199,195.697287
-89.294848,229,197.919877
-90.079843,174,199.633774
-83.894392,412,203.699376
-91.708948,114,204.887926
-103.714236,524,210.044344
-77.52974,470,214.694922
-101.023317,98,215.760407
-104.702172,75,216.529718
-89.027182,608,222.50639
-88.379321,107,223.738913
-105.134327,53,224.40816
-89.608383,88,225.331955
-82.393979,109,226.532051
-107.304248,49,227.006411
-107.298829,50,227.538012
-92.285701,126,228.853506
-75.597832,305,231.9243
-89.31694,585,237.533772
-49.352828,606,243.665503
-114.284494,1548,258.572922
-27.399713,1600,273.822079
-30.204321,1600,288.458701
-31.840078,1600,303.41899
-34.229451,1600,350.25564
-17.735888,1600,361.819772
-26.117792,1600,373.365916
-21.701321,1600,384.83718
-16.991506,1600,395.697706
-16.814989,1600,406.419338
-20.156722,1600,417.071889
