#{"t_start": 1650220239.9088154, "env_id": "BipedalWalker-v3"}
r,l,t
-24.696298,1600,15.875069
-18.51882,1600,31.129966
-16.380903,1600,46.185657
-97.966997,114,47.36286
-26.108397,1600,62.577514
-30.614308,1600,77.636441
-29.222507,1600,93.413136
-98.657966,557,99.149052
-120.745755,111,100.285426
-116.433242,106,101.370959
-93.698941,127,102.708228
-111.715962,124,103.935278
-92.679707,153,105.426712
-101.130058,67,106.121322
-88.937239,155,107.76088
-117.867571,112,109.000167
-96.94015,100,110.105384
-98.412441,198,112.10938
-92.785303,233,114.624359
-121.972833,1332,128.065221
-97.294634,90,128.951707
-94.195631,151,130.524116
-120.16364,156,132.058545
-94.731916,139,133.486307
-112.588671,86,134.350116
-98.743111,75,135.041272
-122.773757,174,136.736044
-107.946618,55,137.291449
-126.454397,1258,149.603722
-93.823226,389,153.519242
-121.35278,144,154.956533
-100.325714,399,158.905835
-100.955222,220,160.985591
-112.47031,929,170.005096
-104.425599,218,172.181789
-101.777683,131,173.531464
-129.580177,194,175.374251
-106.589742,100,176.386889
-95.329658,130,177.718616
-114.720586,83,178.528033
-126.129751,197,180.512612
-111.664535,76,181.239108
-111.790736,123,182.500515
-98.192862,292,185.250613
-94.376675,265,187.814321
-86.998512,510,192.863262
-46.539999,946,202.23507
-81.960007,207,204.397177
-40.440124,1153,215.845129
-94.552097,95,216.815506
-67.291974,564,222.342283
-100.813915,60,222.964109
-79.262102,143,224.757718
-96.647857,70,225.501451
-106.201581,50,225.996679
-95.84842,79,226.794085
-105.027998,60,227.383987
-105.701706,49,227.943187
-74.879534,233,230.399272
-105.581776,49,230.888921
-108.987279,48,231.320265
-67.619883,884,240.001145
-78.747731,178,241.750152
-1.140038,1600,257.301152
-118.145415,126,258.454494
-28.44516,1600,273.705424
-35.5981,1600,288.343331
-25.74271,1600,303.294569
-22.98714,1600,350.287373
-16.990548,1600,361.84095
-20.665493,1600,373.389738
-17.655287,1600,384.8564
-16.857193,1600,395.719024
-23.817668,1600,406.437952
-20.094809,1600,417.096999
