#{"t_start": 1650220239.897097, "env_id": "BipedalWalker-v3"}
r,l,t
-27.85123,1600,15.866676
-16.10728,1600,31.122521
-17.387836,1600,46.18091
-27.915756,1600,61.374023
-101.660571,55,61.964129
-99.875472,115,63.154134
-101.608798,101,64.129711
-102.774417,94,65.031585
-28.833728,1600,79.999315
-118.161693,132,81.234827
-20.679009,1600,97.306507
-112.791697,956,107.149306
-127.201147,158,108.797867
-121.974119,139,110.358108
-99.757718,63,111.013386
-122.053433,158,112.658809
-118.358195,120,113.909724
-100.811655,453,118.583158
-118.468493,176,120.474993
-92.107374,115,121.615721
-90.677334,132,122.933759
-93.840003,115,124.096705
-91.957886,180,125.827068
-101.104937,234,128.144788
-93.767034,128,129.45684
-94.092674,120,130.668424
-120.074892,150,132.146729
-95.151136,153,133.705913
-91.875353,123,134.903582
-120.106361,159,136.446308
-94.462968,115,137.576499
-127.986785,1216,149.478329
-103.71508,466,154.183362
-97.15048,107,155.231258
-99.943881,347,158.610718
-101.458882,599,164.381825
-98.894199,114,165.504088
-100.423611,352,168.863449
-103.273381,189,170.811625
-108.903842,68,171.53351
-106.290226,111,172.653156
-105.731813,182,174.393185
-103.192163,85,175.235516
-108.228243,107,176.30187
-105.740778,86,177.174334
-99.45323,68,177.859742
-133.838431,211,179.939773
-98.284993,184,181.781424
-93.76381,394,185.602855
-65.376276,808,193.583673
-87.506507,395,197.522005
-76.780439,313,200.545367
-89.717236,156,202.085851
-98.581858,95,202.996469
-95.173673,133,204.45005
-58.306914,1029,214.555275
-97.163469,91,215.550666
-74.02256,688,222.346771
-103.850675,53,222.891616
-94.629366,69,223.753162
-106.374182,47,224.341803
-88.440299,97,225.444006
-93.379576,95,226.347115
-103.565186,56,226.968314
-102.424484,55,227.5537
-115.721472,153,229.160986
-107.090346,55,229.814096
-108.262724,49,230.276815
-111.270324,71,230.976354
-95.292046,111,232.025706
-81.724687,962,241.472763
-95.462412,1216,253.354073
-9.236776,1600,268.518856
-27.450165,1600,283.603434
-31.95958,1600,298.178183
-98.485108,117,299.281935
-98.136877,112,300.339572
-16.942893,1600,350.266363
-18.579863,1600,361.829367
-17.660663,1600,373.376212
-18.612691,1600,384.845867
-18.765113,1600,395.709359
-17.370028,1600,406.427833
-15.839887,1600,417.080258
