#{"t_start": 1650220239.8943362, "env_id": "BipedalWalker-v3"}
r,l,t
-24.59032,1600,15.862772
-17.274515,1600,31.119598
-14.662541,1600,46.178235
-22.877279,1600,61.37087
-18.576333,1600,76.503673
-21.284745,1600,92.169351
-93.883959,90,93.105008
-93.877095,89,94.088886
-94.151241,89,95.017944
-84.586681,221,97.217707
-113.670405,80,98.10531
-121.709478,115,99.29835
-95.723047,95,100.26945
-117.071363,126,101.606284
-95.57656,120,102.818989
-115.502511,143,104.243422
-105.196427,46,104.719637
-103.252042,99,105.686573
-87.96984,177,107.496404
-89.007026,128,108.881278
-117.083181,121,110.253983
-124.766052,151,111.734573
-100.484968,261,114.573232
-98.441515,497,119.69952
-90.740334,166,121.420286
-91.908439,108,122.511948
-42.894081,1600,138.381429
-118.397797,1089,149.014844
-99.779211,82,149.803467
-104.124091,361,153.453099
-98.119726,105,154.48876
-96.61838,79,155.288428
-92.035831,123,156.4847
-115.730024,840,164.653803
-130.967073,693,171.391697
-103.806129,126,172.716691
-107.957024,234,175.008551
-137.006066,600,180.983672
-120.507096,132,182.263541
-84.42796,1104,193.032545
-87.865846,160,194.753579
-80.58172,817,202.695309
-90.851115,129,204.027105
-78.557393,1099,214.943818
-63.453914,815,223.202257
-88.729432,91,224.272691
-89.919933,112,225.548925
-80.320739,140,226.951329
-95.317709,75,227.737316
-107.116951,52,228.242947
-106.568379,50,228.802318
-105.881914,46,229.347275
-108.109349,48,229.879374
-105.771982,47,230.320268
-81.342649,1480,244.839009
-97.041927,79,245.685375
-104.258826,86,246.52692
-107.935685,93,247.400783
-3.177323,1600,262.587198
-97.71393,77,263.263457
-25.365663,1600,278.510743
-101.13301,155,279.949907
-31.210935,1600,294.658593
-106.325465,55,295.130976
-106.075855,51,295.653532
-99.902076,112,296.668313
-18.188623,1600,350.262706
-23.748881,1600,361.826282
-18.607866,1600,373.372746
-15.131966,1600,384.842873
-17.61049,1600,395.704986
-24.144393,1600,406.425146
-18.124559,1600,417.077615
