#{"t_start": 1650220239.9155452, "env_id": "BipedalWalker-v3"}
r,l,t
-26.486146,1600,15.880206
-15.801188,1600,31.134893
-15.357255,1600,46.18952
-19.011814,1600,61.380843
-15.478313,1600,76.499588
-104.547998,165,78.089245
-18.504851,1600,93.918743
-98.04859,601,100.128456
-89.372466,188,102.063884
-94.139067,127,103.34864
-111.068617,109,104.421937
-101.602044,142,105.85483
-90.696797,182,107.760191
-95.934713,79,108.540689
-118.375858,102,109.729016
-103.948185,77,110.551812
-120.073206,128,111.810273
-93.252113,147,113.451257
-93.843469,93,114.445428
-91.04631,371,118.248593
-93.920079,105,119.351331
-90.691775,111,120.527256
-122.132262,143,121.934877
-130.544907,156,123.551374
-92.892434,195,125.433873
-92.591945,124,126.677798
-97.372653,287,129.545513
-95.67004,172,131.279661
-96.306795,122,132.482088
-102.391748,410,136.501748
-93.940506,92,137.408491
-95.874523,96,138.383987
-101.756064,475,143.134698
-135.542494,1401,156.821847
-97.853678,149,158.290495
-105.724045,546,163.579513
-102.699117,118,164.740687
-121.438099,443,168.951949
-93.169742,168,170.703405
-102.970999,224,172.975391
-118.244055,229,175.188095
-96.996141,99,176.174841
-118.730347,183,178.011508
-130.300878,197,179.963469
-98.192387,87,180.856294
-102.838672,717,187.776408
-94.514756,550,193.298633
-58.820045,899,202.142009
-62.631128,370,205.897597
-71.521715,916,214.931799
-68.489456,739,222.28882
-107.106408,101,223.457677
-109.771964,114,224.854387
-117.767443,1279,237.560253
-76.236745,242,240.068049
-7.208638,1600,255.713515
-29.816356,1600,270.850803
-37.655753,1600,285.71587
-37.927018,1600,300.463251
-17.663366,1600,350.293154
-16.993979,1600,361.846722
-18.464925,1600,373.395251
-18.21039,1600,384.861351
-23.359996,1600,395.723034
-18.216988,1600,406.442706
-17.48416,1600,417.101083
