#{"t_start": 1650220239.8860073, "env_id": "BipedalWalker-v3"}
r,l,t
-22.921986,1600,15.852836
-20.256237,1600,31.110006
-20.894092,1600,46.170276
-24.601504,1600,61.356843
-99.415361,111,62.560373
-98.957033,154,64.078858
-103.708216,78,64.827886
-27.655796,1600,79.806152
-104.194742,101,80.772323
-97.850877,66,81.423745
-95.281535,67,82.085433
-98.457391,61,82.711933
-99.155412,135,83.998294
-95.628833,97,84.94588
-97.523128,71,85.703838
-94.967681,119,86.876526
-98.095139,93,87.840353
-95.911002,104,88.882252
-98.327143,99,89.810961
-97.715964,73,90.54441
-93.509574,120,91.656319
-95.469982,73,92.44055
-94.665171,83,93.351192
-97.936607,569,99.207157
-115.125047,732,106.677488
-91.679408,118,107.879072
-92.081688,154,109.582769
-124.592713,151,111.186099
-90.947754,116,112.356439
-116.169825,117,113.624116
-117.226582,175,115.468898
-99.764674,410,119.693145
-90.416289,118,120.899021
-116.648272,120,122.096021
-98.589027,95,123.074795
-114.647302,142,124.520545
-92.774277,183,126.315329
-121.691506,1283,139.047768
-101.588256,425,143.336168
-110.878364,497,148.048847
-100.21158,157,149.562224
-114.98517,146,151.029068
-97.335148,557,156.570178
-101.881514,275,159.306446
-99.036517,212,161.29763
-98.378909,391,165.088145
-130.968671,576,170.721578
-109.092232,84,171.603841
-100.632671,158,173.164897
-95.548925,117,174.294406
-103.043218,107,175.338662
-108.429822,165,176.98241
-103.723206,484,181.831127
-74.258769,1114,192.70334
-54.569862,1040,202.952483
-94.201748,95,203.951697
-62.312858,1086,214.732242
-79.819611,271,217.576097
-93.297082,495,222.382635
-102.012795,57,222.954997
-97.652034,58,223.690038
-96.345115,84,224.7359
-94.139082,80,225.611007
-107.745938,49,226.086239
-72.798045,227,228.406025
-107.449589,50,229.005212
-105.773255,57,229.682864
-94.535745,231,231.866314
-100.357151,572,237.365842
-64.113264,410,241.52258
-25.02458,1600,257.087268
-97.106651,77,257.772625
-90.800784,93,258.656739
-97.70303,63,259.26174
-29.11268,1600,274.517611
-26.376606,1600,289.132492
-26.194015,1600,304.097099
-30.611775,1600,350.251702
-15.057188,1600,361.815877
-22.967458,1600,373.36236
-24.097014,1600,384.833763
-24.328035,1600,395.694777
-18.260177,1600,406.41635
-26.964314,1600,417.068991
