#{"t_start": 1650161750.3573847, "env_id": "BipedalWalker-v3"}
r,l,t
-119.48878,95,1.578991
-103.837094,1600,18.762553
-102.683043,80,19.634508
-125.095792,117,20.930092
-115.307636,56,21.562471
-98.85648,1600,56.590778
-112.91464,1600,93.125265
-104.866753,75,93.942886
-100.893674,80,94.83775
-110.328408,1600,130.078588
-102.453885,81,130.898837
-100.165327,1600,166.134912
-112.27851,63,166.844337
-108.325388,1600,202.195777
-109.007925,50,202.715877
-95.025363,1600,220.082954
-91.421135,1600,255.343763
-101.321581,1600,290.641532
-90.67438,1600,326.389715
-93.287718,1600,344.096993
-113.580977,55,344.751966
-77.306262,1600,379.880546
-106.515156,84,380.821037
-104.208771,105,381.956562
-86.991288,1600,417.995104
-72.396737,1600,453.084591
-79.630114,1600,489.27002
-111.997718,133,490.807474
-78.73438,1600,526.618659
-111.607494,109,527.807129
-101.329472,70,528.55468
-124.471972,417,533.012454
-76.066233,1600,568.338678
-110.693644,68,569.094434
-68.416283,1600,586.337531
-108.500678,60,586.937015
-66.988452,1600,622.096423
-45.881442,1600,724.592987
-51.889337,1600,737.537068
-52.183849,1600,750.348474
-51.983742,1600,763.126234
-46.346052,1600,776.085358
-51.977781,1600,789.187842
-52.06796,1600,802.281466
-66.780439,1600,907.345623
-62.277645,1600,922.849533
-66.612249,1600,936.870902
-68.126434,1600,951.256698
-63.302378,1600,964.385969
-63.307026,1600,977.973327
-68.03338,1600,991.09796
-115.031733,101,1508.886478
-64.086235,1600,1526.256425
-58.157858,1600,1659.13179
-110.908235,60,1659.922953
-115.383529,102,1660.999215
-63.681499,1600,1678.547262
-114.035544,69,1679.282562
-59.589788,1600,1697.126927
-61.504186,1600,1715.361804
-50.656743,1600,1732.96101
-62.450424,1600,1750.048855
-120.340499,78,1750.955537
-55.581807,1600,1768.691405
-56.918695,1600,1786.084807
-73.052557,1600,1805.421567
-120.472795,99,1806.881294
-66.355082,1600,1824.580154
-110.088369,100,1825.652609
-58.560087,1600,1842.873181
-56.557091,1600,1860.369443
-67.051146,1600,1877.571568
-63.586736,1600,1894.669844
-62.975153,1600,1912.132611
-66.425125,1600,1929.720141
-111.370026,45,1930.257827
-72.607506,1600,1947.914223
-63.952456,1600,1965.133586
-53.270524,1600,1982.982386
-67.450484,1600,2000.022125
-51.558273,1600,2177.486961
-46.423317,1600,2190.477719
-46.12151,1600,2203.363344
-51.669264,1600,2216.572228
-46.163047,1600,2229.478463
-52.257172,1600,2243.09517
-52.199607,1600,2256.947587
-51.682514,1600,2315.316332
-51.684766,1600,2330.134156
-46.458774,1600,2344.992119
-45.886289,1600,2359.076009
-52.02155,1600,2372.211144
-51.459533,1600,2385.366842
-46.448151,1600,2399.104892
