#{"t_start": 1650161750.100454, "env_id": "BipedalWalker-v3"}
r,l,t
-111.486046,1600,17.985815
-124.847336,1600,52.976363
-103.611779,81,53.855948
-103.521063,56,54.527917
-131.921374,164,56.334419
-118.768279,74,57.133348
-120.048976,141,58.739717
-103.857235,67,59.412686
-114.646234,73,60.267627
-106.381818,1600,96.700118
-109.569959,53,97.306701
-105.854345,1600,132.576798
-106.892195,86,133.471215
-101.895072,73,134.333318
-100.893829,1600,169.480146
-95.444898,1600,204.8541
-105.819645,1600,222.153642
-103.947176,1600,257.543236
-115.935453,76,258.422669
-92.703697,1600,293.649489
-74.424436,1600,329.621167
-93.206846,1600,364.859143
-113.197182,73,365.669102
-74.600133,1600,383.061451
-80.580913,1600,419.147156
-104.748,47,419.635442
-109.56092,57,420.283069
-82.559564,1600,455.293287
-108.450486,66,455.950644
-55.138889,1600,492.346598
-74.388735,1600,528.100419
-83.173962,1600,545.231104
-81.053419,1600,580.597422
-62.861,1600,616.032187
-47.831863,1600,724.776235
-52.239504,1600,737.731153
-51.905849,1600,750.54371
-46.387463,1600,763.325521
-51.959952,1600,776.281166
-51.667327,1600,789.375873
-52.195146,1600,802.478829
-66.426246,1600,907.54261
-62.570133,1600,923.035788
-66.318098,1600,937.069118
-62.790185,1600,951.449027
-62.620643,1600,964.58477
-63.076926,1600,978.170671
-62.35361,1600,991.289585
-61.25288,1600,1525.327882
-122.411395,92,1642.619217
-112.295884,53,1643.127876
-118.186582,85,1644.480614
-64.390626,1600,1661.921327
-68.4819,1600,1679.520975
-62.103613,1600,1697.36066
-66.956257,1600,1715.599509
-64.467025,1600,1733.189559
-101.913021,82,1734.109705
-69.699801,1600,1751.248762
-59.61081,1600,1768.977052
-70.718377,1600,1786.380759
-59.537775,1600,1805.713018
-65.435138,1600,1823.57964
-66.308078,1600,1840.971119
-76.191178,1600,1858.485032
-58.641647,1600,1875.699605
-53.361589,1600,1892.75083
-103.708623,57,1893.433234
-57.644246,1600,1910.931564
-73.577684,1600,1928.526723
-69.209932,1600,1946.197428
-59.025875,1600,1963.416487
-65.450476,1600,1981.255752
-54.678635,1600,1998.342118
-52.372557,1600,2177.680216
-52.682459,1600,2190.672354
-51.990224,1600,2203.544292
-52.083633,1600,2216.739766
-51.659642,1600,2229.670795
-46.450615,1600,2243.29237
-51.998318,1600,2257.146694
-46.148715,1600,2315.510791
-47.81151,1600,2330.328435
-51.674352,1600,2345.18027
-46.474954,1600,2359.273397
-46.295997,1600,2372.409159
-52.20121,1600,2385.551933
-47.833985,1600,2399.275983
