#{"t_start": 1650161750.3423152, "env_id": "BipedalWalker-v3"}
r,l,t
-118.954476,77,1.418698
-117.797867,75,2.313504
-107.963629,1600,19.416505
-106.092623,108,20.612855
-112.32473,61,21.316779
-95.632672,1600,56.304511
-101.533115,72,57.087398
-105.964054,45,57.61627
-102.724395,86,58.580085
-103.683535,92,59.582016
-128.148796,132,61.06584
-93.513512,1600,97.474029
-105.203303,1600,132.751585
-102.083374,46,133.217097
-105.817143,55,133.886943
-102.713641,1600,169.057965
-100.787168,1600,204.410644
-106.338553,56,205.135334
-88.992562,1600,222.388025
-86.298014,1600,257.773731
-101.180129,1600,293.008469
-91.219309,1600,328.886444
-91.340747,1600,364.232005
-71.407742,1600,381.60597
-66.36679,1600,417.628195
-112.103019,122,419.020126
-76.687206,1600,454.050905
-103.895228,51,454.553193
-68.124796,1600,490.86795
-123.457375,68,491.684736
-60.555203,1600,527.444414
-115.746383,66,528.162094
-70.941189,1600,545.308472
-96.117335,133,546.706463
-63.20875,1600,582.081785
-66.844596,1600,617.365817
-52.069552,1600,724.58689
-52.206281,1600,737.531311
-52.090314,1600,750.343008
-46.353567,1600,763.122414
-52.545039,1600,776.080812
-52.188235,1600,789.179991
-52.857602,1600,802.277071
-63.332863,1600,907.341019
-66.843404,1600,922.83449
-63.742085,1600,936.866704
-65.57348,1600,951.24929
-61.947385,1600,964.381968
-66.413429,1600,977.96834
-63.271266,1600,991.091627
-59.247562,1600,1525.113987
-127.266167,71,1525.969921
-113.989167,69,1526.770618
-123.534566,90,1527.734399
-115.291075,67,1528.470793
-98.136744,107,1529.597918
-64.226176,1600,1659.127062
-55.394832,1600,1676.664836
-59.599576,1600,1694.49648
-74.619111,1600,1712.841873
-73.806443,1600,1730.18408
-72.997423,1600,1747.483716
-60.216333,1600,1765.242921
-104.538874,98,1766.336312
-56.595501,1600,1783.760476
-109.402772,66,1784.5578
-122.312664,82,1785.382835
-107.632441,118,1786.730732
-72.409122,1600,1806.224375
-64.638327,1600,1823.97282
-63.988542,1600,1841.316682
-65.816975,1600,1858.872316
-119.166505,69,1859.560194
-67.625566,1600,1876.752508
-59.840817,1600,1893.847024
-58.686805,1600,1911.338549
-108.521507,120,1912.667467
-108.623059,118,1914.14523
-64.388422,1600,1931.536349
-61.843618,1600,1949.194772
-70.482587,1600,1966.481335
-122.157764,71,1967.22078
-63.400706,1600,1985.062778
-66.927035,1600,2001.940737
-52.237002,1600,2177.480962
-46.43098,1600,2190.472251
-47.842869,1600,2203.356388
-51.513265,1600,2216.545459
-51.908119,1600,2229.47275
-52.014196,1600,2243.090029
-52.197221,1600,2256.943656
-46.349355,1600,2315.31177
-51.834479,1600,2330.128295
-52.258782,1600,2344.978881
-52.200533,1600,2359.071381
-52.182919,1600,2372.206681
-52.190849,1600,2385.358615
-52.192889,1600,2399.096373
