#{"t_start": 1650161750.3475835, "env_id": "BipedalWalker-v3"}
r,l,t
-114.133882,62,1.261232
-103.109641,58,1.992682
-117.285226,76,2.748182
-232.699135,1543,19.285663
-103.594301,1600,54.308603
-121.294766,87,55.252399
-118.676509,77,56.122905
-112.32387,82,56.992346
-110.975667,59,57.674373
-112.371864,1600,94.167647
-105.019116,76,95.010804
-112.720379,1600,130.254973
-107.06416,1600,165.48332
-103.941337,57,166.06741
-108.864031,1600,183.470014
-95.410315,1600,218.845051
-106.593274,62,219.51865
-94.571103,1600,254.717195
-93.696606,1600,290.081362
-93.339758,1600,325.788015
-86.767524,1600,343.519618
-105.480814,60,344.129352
-74.388685,1600,379.278555
-78.664247,1600,415.195427
-85.940285,1600,450.528541
-79.033461,1600,486.516428
-69.968473,1600,504.461941
-80.477822,1600,539.839489
-71.690235,1600,575.096642
-64.903582,1600,610.629752
-68.904562,1600,627.298904
-51.889327,1600,724.589248
-51.322792,1600,737.532743
-46.430693,1600,750.344336
-52.187911,1600,763.1235
-52.082611,1600,776.082286
-52.190142,1600,789.183167
-46.462331,1600,802.278321
-62.124479,1600,907.342634
-62.003288,1600,922.846337
-72.348474,1600,936.867997
-73.149252,1600,951.251064
-62.7764,1600,964.383122
-62.911253,1600,977.969989
-68.269161,1600,991.093707
-113.415918,58,1508.449106
-64.913359,1600,1525.818715
-60.413279,1600,1659.12835
-79.000798,1600,1676.671176
-56.260246,1600,1694.498879
-61.793089,1600,1712.843442
-62.194204,1600,1730.185788
-43.664682,1600,1747.485679
-112.887442,57,1748.139725
-52.601246,1600,1765.881005
-72.385467,1600,1783.277192
-55.903297,1600,1802.283123
-57.435181,1600,1820.606157
-57.804056,1600,1837.903283
-124.484583,125,1839.243891
-59.406694,1600,1856.880601
-125.942046,87,1857.804724
-67.56533,1600,1875.014706
-66.890288,1600,1892.085733
-56.204922,1600,1909.574433
-60.869867,1600,1927.223404
-111.10552,103,1928.327159
-119.805375,266,1931.131498
-78.557561,1600,1948.801526
-71.678758,1600,1966.077496
-111.515648,92,1967.092805
-71.832699,1600,1984.939763
-57.144023,1600,2001.820276
-51.705482,1600,2177.482428
-52.635726,1600,2190.474223
-47.238811,1600,2203.35828
-52.083356,1600,2216.566787
-52.199677,1600,2229.474307
-51.971145,1600,2243.091232
-46.474345,1600,2256.944649
-52.209821,1600,2315.312999
-51.567168,1600,2330.130003
-46.428848,1600,2344.980117
-52.255402,1600,2359.072646
-51.623615,1600,2372.207844
-51.507735,1600,2385.362352
-47.839251,1600,2399.099002
