#{"t_start": 1650161750.1135275, "env_id": "BipedalWalker-v3"}
r,l,t
-116.958105,1600,17.981493
-108.990592,1600,52.970331
-108.306188,53,53.56121
-109.983505,1600,90.038814
-109.053491,41,90.451296
-107.895899,40,90.984708
-108.500363,47,91.464519
-99.958568,65,92.237359
-105.447745,62,92.967076
-102.167416,1600,128.186229
-106.702426,68,128.87319
-111.765008,62,129.560439
-106.714777,1600,164.801449
-115.312026,1600,182.222982
-94.076188,1600,217.603452
-102.728555,1600,252.720056
-86.321238,1600,288.123008
-95.983932,1600,323.830137
-77.728002,1600,341.489404
-71.095241,1600,376.71016
-90.026787,1600,412.476766
-82.176713,1600,448.007818
-67.041819,1600,465.307929
-70.629821,1600,501.979635
-102.01628,85,502.872334
-65.243736,1600,538.225991
-76.337399,1600,573.462628
-64.801896,1600,608.929739
-68.169043,1600,625.683278
-52.003268,1600,724.776731
-46.450798,1600,737.73173
-46.367246,1600,750.545202
-52.006225,1600,763.325326
-52.200866,1600,776.283179
-51.127761,1600,789.377568
-52.017433,1600,802.479265
-62.320734,1600,907.542859
-63.622599,1600,923.03606
-62.473242,1600,937.069592
-63.283726,1600,951.449629
-70.621982,1600,964.584942
-72.347333,1600,978.170954
-66.746711,1600,991.292022
-61.631406,1600,1525.328295
-119.163464,68,1526.163243
-113.622492,86,1567.73682
-60.370091,1600,1659.333812
-67.111079,1600,1676.870449
-59.632312,1600,1694.70268
-119.881649,68,1695.536176
-58.982829,1600,1713.864197
-68.27285,1600,1731.184393
-107.359529,37,1731.579265
-55.568765,1600,1748.885755
-72.706443,1600,1766.640937
-80.249306,1600,1784.072983
-103.89073,70,1784.91906
-122.221081,131,1786.292788
-118.997613,94,1787.304998
-55.764271,1600,1806.997808
-85.519895,1600,1824.730439
-59.537499,1600,1841.90971
-113.141693,57,1842.593041
-56.120356,1600,1860.098783
-61.476687,1600,1877.286192
-62.147729,1600,1894.380648
-108.032805,65,1895.081853
-115.125103,75,1895.901752
-57.84685,1600,1913.541952
-55.371945,1600,1930.946332
-66.525878,1600,1948.604237
-62.691552,1600,1965.837765
-60.126831,1600,1983.667689
-71.008524,1600,2000.671524
-52.467423,1600,2177.681962
-51.657765,1600,2190.673819
-46.440269,1600,2203.547689
-52.195434,1600,2216.741449
-52.195136,1600,2229.67219
-46.472979,1600,2243.292643
-47.844551,1600,2257.147038
-53.15706,1600,2315.51097
-52.206576,1600,2330.329485
-52.207835,1600,2345.180447
-52.20964,1600,2359.273872
-52.036373,1600,2372.409439
-51.606755,1600,2385.552446
-52.022322,1600,2399.277647
