#{"t_start": 1650161750.4169908, "env_id": "BipedalWalker-v3"}
r,l,t
-108.634984,62,1.199662
-120.912675,1600,18.371336
-101.834671,70,19.152028
-102.05055,1600,54.158463
-103.577926,71,54.953513
-102.980752,69,55.662194
-112.513429,1600,92.2164
-122.064234,118,93.493345
-100.192788,75,94.305915
-117.736193,1600,129.541076
-112.904979,1600,164.785591
-129.170457,102,165.895411
-110.792855,64,166.62539
-117.496951,162,168.32699
-113.084276,1600,203.714984
-104.26788,90,204.713485
-95.079055,1600,222.003219
-102.014684,1600,257.380927
-105.717196,57,258.069547
-75.965094,1600,293.284736
-93.165032,1600,329.266136
-112.722147,78,330.154257
-95.176625,1600,365.377021
-90.547625,1600,382.772325
-76.627612,1600,418.852254
-122.7813,101,419.94796
-106.75388,109,421.095691
-108.657696,103,422.191464
-62.949331,1600,457.287516
-118.500848,73,458.097056
-102.207357,58,458.700242
-103.72146,119,460.016671
-113.378053,118,461.251228
-81.224778,1600,497.840537
-50.933471,1600,533.231401
-119.942128,101,534.349389
-108.900787,122,535.705091
-72.896731,1600,571.001769
-72.558508,1600,606.513791
-67.877037,1600,623.322601
-52.196961,1600,724.554891
-47.788127,1600,737.490579
-52.713442,1600,750.30214
-52.280663,1600,763.079215
-51.545475,1600,776.038565
-51.944264,1600,789.142716
-52.941322,1600,802.235557
-66.321874,1600,907.306255
-63.437851,1600,922.804088
-66.891065,1600,936.824154
-66.388355,1600,951.211259
-66.270329,1600,964.347167
-62.549731,1600,977.927184
-62.252645,1600,991.052752
-65.666329,1600,1525.055629
-68.614842,1600,1659.088891
-60.903774,1600,1676.622374
-64.874053,1600,1694.449886
-70.498084,1600,1712.78915
-55.859615,1600,1730.131467
-113.221297,65,1730.84973
-56.500082,1600,1748.16926
-54.988872,1600,1765.901654
-72.384546,1600,1783.301776
-116.283162,64,1784.022093
-68.571543,1600,1803.066669
-63.842689,1600,1821.274869
-63.273583,1600,1838.588135
-61.215697,1600,1856.21874
-60.079193,1600,1873.410351
-49.882887,1600,1890.491214
-114.777354,61,1891.160229
-73.881329,1600,1908.546396
-66.552144,1600,1926.284225
-64.504061,1600,1943.977347
-63.04847,1600,1961.206346
-62.317657,1600,1978.816966
-67.815352,1600,1996.091753
-51.682197,1600,2177.441581
-52.199149,1600,2190.431562
-52.095782,1600,2203.318711
-52.192577,1600,2216.527356
-52.187885,1600,2229.432395
-46.40298,1600,2243.048615
-46.151183,1600,2256.91028
-51.593764,1600,2315.269799
-47.817397,1600,2330.0883
-52.190911,1600,2344.945414
-52.193852,1600,2359.029273
-52.198181,1600,2372.164615
-52.088745,1600,2385.320457
-46.370044,1600,2399.06235
