#{"t_start": 1650161750.4321651, "env_id": "BipedalWalker-v3"}
r,l,t
-117.324483,66,1.223979
-104.66067,1600,18.397169
-104.446399,1600,53.379109
-99.520687,85,54.344423
-108.541605,84,55.261013
-114.433407,49,55.772942
-104.330163,101,56.917541
-119.203638,1600,93.42475
-99.983571,87,94.366307
-103.040673,1600,129.606735
-118.137971,62,130.324178
-105.110132,1600,165.542692
-101.224408,59,166.154543
-105.331277,78,167.030053
-103.651485,1600,202.373215
-105.498252,88,203.331525
-99.474002,1600,220.693481
-84.851721,1600,256.021344
-102.835423,1600,291.294434
-102.133425,1600,327.055225
-93.880874,1600,344.755361
-100.611745,101,363.604379
-107.195264,62,364.317534
-107.04634,38,364.698487
-75.245778,1600,382.077746
-56.998154,1600,418.110211
-108.976322,50,418.740263
-110.956361,86,419.641206
-77.43639,1600,454.642459
-77.785777,1600,490.973371
-103.007551,111,492.343636
-123.718427,74,493.086704
-50.923142,1600,528.769387
-108.257726,70,529.542045
-64.3526,1600,546.688548
-73.458554,1600,582.056148
-64.616526,1600,617.355445
-46.861283,1600,724.564117
-46.36676,1600,737.495131
-46.464828,1600,750.30723
-46.349203,1600,763.192461
-51.968628,1600,776.043812
-51.973647,1600,789.170263
-46.54917,1600,802.239637
-65.571025,1600,907.313519
-62.818059,1600,922.80938
-67.237889,1600,936.828094
-63.284693,1600,951.218395
-62.272636,1600,964.352634
-63.592996,1600,977.931321
-66.171541,1600,991.058701
-59.638673,1600,1525.06279
-111.082877,59,1641.964821
-56.951708,1600,1659.834355
-107.598244,47,1660.327486
-66.529999,1600,1677.830571
-58.406049,1600,1695.622455
-66.469321,1600,1713.946923
-62.249516,1600,1731.28058
-54.979385,1600,1748.589876
-62.263145,1600,1766.347035
-59.170828,1600,1783.776489
-57.366815,1600,1802.794033
-66.979626,1600,1821.032152
-71.319397,1600,1838.335118
-107.509641,93,1839.349718
-56.174885,1600,1856.967188
-65.422181,1600,1874.156284
-65.127961,1600,1891.230304
-59.412492,1600,1908.634279
-67.069663,1600,1926.371968
-105.38175,138,1927.817398
-64.391799,1600,1945.468085
-63.277385,1600,1962.725373
-56.185572,1600,1980.536166
-62.882442,1600,1997.639082
-51.632514,1600,2177.46119
-52.202417,1600,2190.437055
-52.195217,1600,2203.32515
-46.336995,1600,2216.535363
-52.203322,1600,2229.43808
-51.52628,1600,2243.05326
-52.076856,1600,2256.914537
-47.817104,1600,2315.274934
-52.150592,1600,2330.096318
-52.20184,1600,2344.950357
-52.078837,1600,2359.033704
-46.119844,1600,2372.169185
-52.083578,1600,2385.326119
-47.831153,1600,2399.070359
