#{"t_start": 1650161750.3626335, "env_id": "BipedalWalker-v3"}
r,l,t
-113.247792,61,1.229359
-115.858959,66,2.064485
-126.621149,1600,19.152496
-113.072592,71,19.863659
-104.152971,74,20.721645
-101.817592,82,21.622774
-107.41209,51,22.216196
-109.326114,1600,57.282282
-108.993203,88,58.179397
-117.331952,1600,94.642031
-130.134989,210,96.985395
-119.069228,112,98.182129
-118.492634,1600,133.503087
-116.323943,72,134.286786
-109.565445,50,134.860969
-112.117332,55,135.446979
-121.371974,85,136.399759
-113.976553,1600,171.492459
-107.732857,1600,206.969013
-111.418399,45,207.481897
-97.916587,1600,242.394533
-106.419394,125,243.737818
-94.051752,1600,261.624552
-78.659225,1600,296.835816
-115.375975,62,297.594416
-91.954876,1600,333.291579
-75.791844,1600,368.570519
-69.448649,1600,404.230018
-82.126634,1600,422.034399
-101.720056,71,422.76843
-104.653261,47,423.310227
-76.641629,1600,458.400285
-70.711915,1600,494.821754
-79.187598,1600,530.449436
-73.999906,1600,547.533376
-71.807727,1600,582.946701
-64.634638,1600,618.220369
-52.220903,1600,724.595412
-53.005043,1600,737.538419
-45.91305,1600,750.349815
-46.465069,1600,763.127306
-52.035984,1600,776.086454
-51.637991,1600,789.189822
-51.6594,1600,802.282761
-65.931443,1600,907.347016
-63.437756,1600,922.850855
-63.381767,1600,936.872022
-62.025149,1600,951.258491
-62.329397,1600,964.395054
-66.388379,1600,977.97455
-66.523984,1600,991.099899
-62.035855,1600,1525.101568
-118.704469,88,1567.517123
-62.62822,1600,1659.136681
-64.633183,1600,1676.667229
-62.91958,1600,1694.496358
-49.702838,1600,1712.836554
-64.205826,1600,1730.179132
-106.485567,70,1730.969583
-104.391053,90,1731.995826
-54.152873,1600,1749.30513
-58.354338,1600,1767.074842
-102.917349,54,1767.669667
-117.082801,79,1768.5255
-60.883491,1600,1785.91885
-67.783945,1600,1805.217384
-49.540309,1600,1823.12383
-59.367139,1600,1840.521127
-64.352484,1600,1858.043865
-108.507198,74,1858.902885
-67.114129,1600,1876.065605
-60.41044,1600,1893.151129
-108.292521,69,1893.866158
-57.871501,1600,1911.355618
-106.149339,64,1912.037539
-121.799183,85,1913.168519
-50.8628,1600,1930.566937
-117.282728,91,1931.577347
-60.563094,1600,1949.237844
-113.320414,94,1950.266727
-58.11872,1600,1967.573147
-71.86245,1600,1985.40558
-46.466754,1600,2177.488812
-51.991865,1600,2190.479154
-46.288227,1600,2203.365785
-52.202645,1600,2216.574321
-47.828727,1600,2229.480031
-52.09147,1600,2243.096285
-52.203221,1600,2256.948659
-51.553355,1600,2315.317632
-52.079201,1600,2330.13588
-52.214918,1600,2344.993297
-51.477484,1600,2359.077312
-51.944679,1600,2372.212383
-52.077804,1600,2385.368304
-46.420621,1600,2399.10852
