#{"t_start": 1650161750.1187284, "env_id": "BipedalWalker-v3"}
r,l,t
-111.037582,55,1.408504
-100.238162,66,2.233718
-116.635675,75,2.96982
-124.224168,81,3.825961
-116.982167,55,4.463158
-103.041279,52,4.964613
-102.628877,90,5.943988
-102.270837,90,6.948594
-115.976566,1600,41.839339
-102.699526,1600,59.209321
-100.328117,80,60.112395
-108.299623,62,60.864146
-116.86593,90,61.781
-100.055381,70,62.532116
-116.155516,76,82.465437
-123.44412,102,83.554076
-107.881807,1600,100.871698
-106.148949,1600,136.300588
-104.034535,1600,171.40147
-105.296371,1600,206.856073
-116.123527,58,207.518579
-84.604657,1600,242.434616
-91.359459,1600,260.258161
-88.756585,1600,295.416091
-108.128629,80,296.241585
-110.611436,48,296.860681
-101.28155,1600,332.660291
-102.561615,84,333.587496
-101.110108,98,334.661115
-99.033927,1600,369.942383
-87.838462,1600,405.619049
-81.302268,1600,423.390488
-72.83355,1600,458.466213
-74.334993,1600,494.899466
-108.074749,162,496.74537
-107.762765,69,497.516513
-69.415079,1600,532.975414
-66.787599,1600,568.292284
-76.294982,1600,585.517479
-70.073211,1600,620.709116
-51.574021,1600,724.778177
-46.367827,1600,737.733254
-51.617088,1600,750.546742
-51.757751,1600,763.326517
-52.354368,1600,776.284591
-46.50581,1600,789.379675
-52.331721,1600,802.480885
-62.928942,1600,907.544085
-66.339662,1600,923.037388
-66.107588,1600,937.070876
-63.431969,1600,951.451115
-62.160062,1600,964.586291
-63.959478,1600,978.17231
-66.206148,1600,991.293988
-50.454912,1600,1525.329827
-114.074446,76,1642.433047
-67.211315,1600,1660.326099
-53.728467,1600,1677.798595
-121.907032,116,1679.103426
-61.009924,1600,1696.958474
-53.704688,1600,1715.193119
-62.025721,1600,1732.590231
-116.27966,86,1733.746761
-108.642936,62,1734.364675
-59.762695,1600,1751.553083
-64.317432,1600,1769.234996
-111.820155,78,1770.090044
-56.775359,1600,1787.486385
-61.580202,1600,1807.263911
-70.968744,1600,1824.919024
-68.399914,1600,1842.130311
-67.66268,1600,1859.631056
-57.041035,1600,1876.806838
-120.932247,60,1877.495199
-53.961712,1600,1894.60756
-106.70007,59,1895.226071
-112.570823,64,1895.94691
-109.201419,49,1896.436008
-64.027818,1600,1914.089793
-106.899922,64,1914.804771
-121.978784,83,1915.71349
-60.453037,1600,1933.117152
-113.995528,126,1934.480659
-52.345551,1600,1952.134303
-59.395985,1600,1969.478541
-68.971097,1600,1987.255358
-46.302424,1600,2177.683507
-51.671755,1600,2190.675525
-52.244597,1600,2203.556926
-51.65499,1600,2216.743752
-52.194767,1600,2229.674003
-52.202241,1600,2243.293973
-52.203453,1600,2257.148267
-52.253921,1600,2315.512391
-46.419084,1600,2330.331159
-51.677771,1600,2345.182106
-52.20001,1600,2359.275347
-47.83821,1600,2372.410765
-52.203814,1600,2385.553879
-51.531298,1600,2399.279967
