#{"t_start": 1650161750.4398506, "env_id": "BipedalWalker-v3"}
r,l,t
-112.141717,49,1.029846
-114.402858,1600,18.224453
-120.701988,1600,53.196845
-101.629646,1600,89.664524
-104.895234,1600,125.045813
-102.547265,1600,142.52506
-104.591731,1600,177.70065
-101.528871,70,178.497405
-95.137379,1600,213.751379
-91.736653,1600,248.735711
-89.78318,1600,284.330361
-86.979294,1600,301.920333
-114.656732,55,302.486679
-104.505518,48,303.076315
-109.482334,67,303.758927
-111.479605,66,304.479142
-62.722546,1600,340.244469
-117.046081,70,341.033834
-65.618467,1600,376.240896
-82.924054,1600,412.006058
-89.983516,1600,447.552306
-79.070945,1600,464.835487
-89.341996,1600,501.504982
-112.381677,56,502.063711
-68.488284,1600,537.411525
-62.639066,1600,572.639531
-118.331989,75,573.500354
-115.582995,112,574.71896
-72.424145,1600,610.225513
-63.557329,1600,626.894308
-52.271885,1600,724.563059
-51.348982,1600,737.494029
-51.319693,1600,750.306198
-52.106243,1600,763.192146
-52.209371,1600,776.043039
-47.802283,1600,789.170044
-52.1926,1600,802.238393
-62.111772,1600,907.312165
-61.056055,1600,922.808433
-63.534084,1600,936.82675
-71.818319,1600,951.221088
-73.724968,1600,964.352037
-67.221616,1600,977.9311
-65.431741,1600,991.059198
-71.607254,1600,1525.061603
-114.58883,80,1642.164952
-55.291252,1600,1660.050645
-56.186963,1600,1677.533855
-62.950738,1600,1695.351103
-73.198095,1600,1713.670964
-62.895033,1600,1731.00209
-116.315424,67,1731.704123
-66.538236,1600,1749.00876
-57.490234,1600,1766.777165
-75.325792,1600,1784.190654
-54.79748,1600,1803.277244
-69.516305,1600,1821.46002
-109.517227,54,1822.064367
-64.857519,1600,1839.366149
-63.290216,1600,1856.984008
-61.939922,1600,1874.172416
-88.465885,1600,1891.256393
-66.897636,1600,1908.652085
-66.508746,1600,1926.397221
-69.87747,1600,1944.075243
-63.135138,1600,1961.297912
-62.887086,1600,1978.912677
-116.78137,74,1979.736387
-120.61499,104,1981.036483
-56.329021,1600,1998.114078
-47.762726,1600,2177.460507
-52.475573,1600,2190.435923
-52.291236,1600,2203.324674
-52.357839,1600,2216.53557
-52.71701,1600,2229.437194
-52.006183,1600,2243.052732
-46.144299,1600,2256.913399
-52.070249,1600,2315.273799
-53.117324,1600,2330.096211
-52.072491,1600,2344.949219
-47.815568,1600,2359.032609
-52.250569,1600,2372.168135
-46.463595,1600,2385.325635
-47.794235,1600,2399.071126
