#{"t_start": 1650161750.107842, "env_id": "BipedalWalker-v3"}
r,l,t
-122.667843,133,2.374257
-104.19702,79,3.219682
-104.188421,71,3.901278
-102.643269,110,5.082146
-107.703907,44,5.579526
-124.54386,1600,22.776955
-109.598603,47,40.941822
-105.330762,78,41.823295
-109.923901,94,42.855172
-110.833053,66,43.568774
-100.704815,72,44.306288
-95.666254,1600,61.768194
-121.093937,120,82.21059
-110.271314,1600,99.499278
-103.135413,89,100.462219
-104.960077,99,101.550559
-101.268564,54,102.121362
-113.645852,54,102.770643
-104.140782,88,103.680956
-118.260164,73,122.335429
-103.545603,1600,139.780541
-117.738077,59,140.429964
-116.544069,81,141.412641
-105.64338,43,141.84403
-93.362488,1600,176.930411
-107.092638,1600,212.291096
-121.431177,89,213.236499
-124.429038,154,214.90626
-99.194896,103,216.069495
-106.787456,83,216.99216
-117.167365,1600,252.091364
-80.256243,1600,287.503932
-86.109233,1600,305.082007
-75.312293,1600,340.862592
-105.75564,63,341.5704
-103.879026,59,342.258504
-106.697691,73,343.027215
-65.807152,1600,378.194268
-71.221159,1600,414.065184
-105.17664,83,415.001072
-71.346072,1600,450.38359
-85.476261,1600,486.36396
-80.828892,1600,504.315859
-109.968431,168,506.131461
-70.997396,1600,541.511323
-73.023538,1600,576.902486
-109.196146,60,577.506219
-63.855658,1600,612.920026
-110.304693,76,613.759139
-52.53283,1600,724.775765
-51.539886,1600,737.730647
-46.468394,1600,750.543196
-55.620565,1600,763.324577
-52.491839,1600,776.282174
-51.669471,1600,789.375956
-47.035499,1600,802.478358
-65.768621,1600,907.541915
-66.58872,1600,923.035128
-65.407491,1600,937.068541
-66.017949,1600,951.44865
-65.11256,1600,964.584114
-63.474528,1600,978.169971
-65.311281,1600,991.289669
-64.172321,1600,1525.327276
-105.161054,76,1642.437347
-109.235117,169,1644.62841
-63.897376,1600,1662.065293
-60.317624,1600,1679.673105
-107.953948,90,1680.643888
-107.183138,183,1682.69175
-61.664431,1600,1700.433365
-114.67176,66,1701.160985
-60.685208,1600,1719.408433
-68.211747,1600,1736.95856
-69.722906,1600,1754.410286
-68.548735,1600,1771.88252
-60.951917,1600,1789.319845
-105.819944,53,1789.887319
-107.116428,100,1791.161366
-62.196358,1600,1810.860283
-63.989802,1600,1828.331167
-66.98813,1600,1845.638518
-72.395839,1600,1863.04878
-136.05939,905,1872.76139
-117.982989,146,1874.366228
-60.485304,1600,1891.433094
-56.664154,1600,1908.826506
-65.32614,1600,1926.561908
-66.631878,1600,1944.2534
-59.598229,1600,1961.482602
-101.576971,49,1961.995407
-63.727983,1600,1979.605676
-61.750915,1600,1996.898136
-52.254107,1600,2177.679807
-51.656676,1600,2190.672842
-51.560672,1600,2203.5443
-51.964118,1600,2216.739738
-51.501884,1600,2229.670761
-46.425229,1600,2243.291765
-51.514141,1600,2257.146105
-51.51512,1600,2315.510111
-46.365249,1600,2330.328309
-51.334098,1600,2345.179598
-52.247365,1600,2359.272919
-52.206981,1600,2372.408448
-52.207115,1600,2385.551424
-52.264353,1600,2399.276071
