#{"t_start": 1650161750.4221144, "env_id": "BipedalWalker-v3"}
r,l,t
-111.898966,1600,17.691404
-103.258084,83,18.579736
-106.795169,38,19.008386
-116.569205,1600,54.043727
-112.161335,68,54.745977
-114.206059,62,55.440089
-100.805473,76,56.304087
-108.782827,1600,92.849065
-118.275677,1600,128.076754
-111.0299,1600,163.319471
-115.720026,79,164.147061
-103.320994,92,165.118449
-97.588441,1600,182.524277
-106.587243,1600,217.897985
-114.990862,64,218.604571
-107.915767,1600,253.756603
-97.519617,1600,289.156712
-107.395003,77,290.015119
-106.968987,46,290.458435
-73.662429,1600,326.200457
-113.77946,90,327.250423
-104.919045,101,328.425956
-66.936544,1600,363.789152
-87.32071,1600,381.16597
-81.352061,1600,417.144134
-76.632013,1600,452.316378
-79.521387,1600,488.417972
-62.452263,1600,506.303295
-111.427786,49,506.863311
-72.281955,1600,542.200823
-124.664774,126,543.511839
-131.136852,396,547.688778
-75.144877,1600,583.088083
-71.74743,1600,618.353042
-52.207177,1600,724.55993
-52.157739,1600,737.491947
-46.425788,1600,750.303916
-52.196516,1600,763.080437
-51.888137,1600,776.039918
-51.962007,1600,789.144785
-46.365594,1600,802.236888
-73.034821,1600,907.310547
-67.007016,1600,922.805766
-63.965558,1600,936.825438
-63.255353,1600,951.213412
-62.788417,1600,964.348718
-63.270466,1600,977.928457
-66.815792,1600,991.054619
-56.996024,1600,1525.059898
-60.742363,1600,1659.090726
-58.868207,1600,1676.62611
-64.426263,1600,1694.452496
-71.633323,1600,1712.791686
-60.351807,1600,1730.133044
-65.199866,1600,1747.41989
-47.611313,1600,1765.171916
-61.12553,1600,1782.541691
-67.673969,1600,1801.467349
-96.122815,78,1802.468707
-72.535925,1600,1820.74895
-56.205568,1600,1838.054196
-68.462495,1600,1855.700541
-58.393259,1600,1872.872338
-66.948657,1600,1889.806267
-54.852787,1600,1907.378114
-68.876061,1600,1925.091318
-112.38941,56,1925.665285
-51.033307,1600,1943.331307
-60.816996,1600,1960.574747
-113.859108,76,1961.407921
-73.528809,1600,1979.03529
-69.164483,1600,1996.291615
-46.360205,1600,2177.444636
-51.724724,1600,2190.432944
-53.138049,1600,2203.320726
-47.236409,1600,2216.530741
-52.236132,1600,2229.434085
-52.069075,1600,2243.05005
-53.104316,1600,2256.911651
-52.192368,1600,2315.271759
-46.295952,1600,2330.090044
-51.671756,1600,2344.947286
-46.43261,1600,2359.030498
-53.331939,1600,2372.166167
-52.180883,1600,2385.322034
-51.592641,1600,2399.064788
