#{"t_start": 1650161750.1235175, "env_id": "BipedalWalker-v3"}
r,l,t
-105.03011,124,2.26486
-103.447087,82,3.145698
-103.537677,82,3.937837
-113.303816,1600,21.110831
-103.957263,109,22.284528
-123.581288,98,41.044911
-103.738496,81,41.9654
-118.152808,66,42.684275
-114.157652,77,43.51624
-113.547292,56,44.097976
-103.878017,61,44.792762
-108.801019,68,45.579191
-115.491756,1600,82.086035
-103.456831,51,82.607764
-100.047962,1600,99.901443
-103.003349,1600,135.300638
-117.49501,1600,170.424808
-113.630724,65,171.148467
-107.857413,72,171.892794
-105.63382,1600,207.351803
-108.906047,1600,242.271611
-84.53549,1600,260.057604
-92.908178,1600,295.214829
-101.971199,1600,331.175281
-95.310876,1600,366.396856
-69.254063,1600,383.805766
-100.21117,69,384.612898
-103.426044,83,385.564303
-119.877686,377,407.895714
-79.457416,1600,425.650198
-79.762299,1600,460.789177
-83.261748,1600,497.287398
-78.36495,1600,532.752694
-68.642314,1600,568.070185
-111.505379,60,568.682329
-76.375084,1600,585.939119
-72.467163,1600,621.083474
-103.252469,67,621.834678
-112.59748,49,622.31298
-52.204634,1600,724.780041
-51.525401,1600,737.73595
-46.790539,1600,750.548453
-53.033648,1600,763.328207
-51.677593,1600,776.286334
-51.706476,1600,789.383229
-51.751366,1600,802.482904
-62.451869,1600,907.546259
-66.292449,1600,923.039596
-62.339188,1600,937.072633
-62.930738,1600,951.453671
-65.616661,1600,964.587891
-63.526139,1600,978.174014
-62.102012,1600,991.296201
-113.219137,67,1508.77648
-62.341217,1600,1526.139862
-107.147245,94,1527.218817
-77.094218,1600,1659.33183
-71.528213,1600,1676.868289
-64.91628,1600,1694.700618
-59.625838,1600,1713.04567
-58.273815,1600,1730.388214
-72.001285,1600,1747.694524
-67.242214,1600,1765.454636
-47.647892,1600,1782.826265
-106.913334,62,1783.556726
-66.416612,1600,1802.574491
-111.149789,79,1803.500421
-113.993082,58,1804.252356
-104.828189,73,1805.217928
-56.849359,1600,1823.152731
-55.960615,1600,1840.517687
-60.639386,1600,1858.060348
-68.705708,1600,1875.277358
-50.762767,1600,1892.347858
-109.569851,71,1893.067366
-64.713506,1600,1910.571172
-63.029014,1600,1928.191402
-63.26562,1600,1945.839455
-61.406852,1600,1963.086444
-52.959754,1600,1980.905712
-64.979503,1600,1998.009462
-115.295601,59,1998.655139
-104.275821,67,1999.373452
-52.113306,1600,2177.685465
-47.832091,1600,2190.677357
-52.236387,1600,2203.560396
-52.078898,1600,2216.747722
-46.351427,1600,2229.67626
-51.502581,1600,2243.295709
-51.68111,1600,2257.149768
-52.086813,1600,2315.514223
-47.842003,1600,2330.333205
-52.109571,1600,2345.184398
-52.194964,1600,2359.27706
-52.15669,1600,2372.412592
-45.888115,1600,2385.555838
-47.836151,1600,2399.282394
