#{"t_start": 1650161750.4273345, "env_id": "BipedalWalker-v3"}
r,l,t
-107.126848,74,1.307834
-115.585842,78,2.237005
-101.442632,62,2.93776
-125.344264,1600,20.06489
-126.505158,101,21.16489
-114.473429,85,22.016974
-103.240336,82,40.595785
-134.370731,388,44.873945
-113.576267,78,45.73428
-102.814475,55,46.352692
-110.633917,1600,82.842217
-111.102084,1600,100.15398
-103.875191,1600,135.577697
-95.087094,1600,170.665946
-112.047663,70,171.387901
-98.148625,1600,206.857031
-98.24387,1600,224.063815
-87.085206,1600,259.536298
-104.588819,66,260.332438
-103.446197,67,261.122549
-81.867237,1600,296.298457
-99.998662,1600,332.121021
-104.927783,100,333.192227
-72.868315,1600,368.463025
-106.024028,76,369.2399
-70.162698,1600,404.927607
-116.247616,90,405.912578
-64.057662,1600,423.708182
-90.325291,1600,458.805225
-108.93259,83,459.732509
-58.503067,1600,496.224518
-70.893373,1600,531.727567
-73.966529,1600,566.997724
-71.648935,1600,584.25014
-57.244218,1600,619.472881
-51.885391,1600,724.562391
-52.206694,1600,737.493293
-46.143795,1600,750.305321
-46.295872,1600,763.189816
-51.33198,1600,776.042017
-52.232869,1600,789.166691
-51.65394,1600,802.238131
-66.435704,1600,907.311868
-62.321355,1600,922.807605
-65.603016,1600,936.826609
-68.179817,1600,951.215135
-62.685087,1600,964.350686
-62.752004,1600,977.929563
-64.093302,1600,991.056447
-62.255006,1600,1525.061266
-61.768305,1600,1659.091971
-70.435405,1600,1676.628186
-54.224321,1600,1694.454305
-110.017126,111,1695.683205
-71.252332,1600,1714.003029
-114.270031,76,1714.832897
-71.324281,1600,1732.204639
-60.714653,1600,1749.511149
-62.240929,1600,1767.310066
-112.897384,76,1768.144186
-108.491794,83,1768.992777
-56.911275,1600,1786.384826
-58.225857,1600,1805.794843
-56.726181,1600,1823.602808
-68.352724,1600,1840.978533
-54.936264,1600,1858.500172
-119.443735,115,1859.838195
-60.20834,1600,1877.023667
-51.123369,1600,1894.120966
-110.284754,55,1894.694024
-61.849558,1600,1912.148673
-60.193143,1600,1929.758019
-63.648859,1600,1947.412371
-57.576444,1600,1964.63543
-107.165853,121,1965.983311
-66.612534,1600,1983.785895
-108.962083,78,1984.70193
-57.881719,1600,2001.589895
-52.235768,1600,2177.458114
-51.885392,1600,2190.434361
-52.203225,1600,2203.322719
-51.262424,1600,2216.532938
-47.813116,1600,2229.435941
-51.534016,1600,2243.051534
-47.822484,1600,2256.912955
-52.070953,1600,2315.273125
-52.07105,1600,2330.092002
-51.682394,1600,2344.94868
-47.830076,1600,2359.031929
-46.35287,1600,2372.167492
-47.798655,1600,2385.323884
-52.036061,1600,2399.066988
