#{"t_start": 1650161750.329679, "env_id": "BipedalWalker-v3"}
r,l,t
-126.52667,123,2.045383
-101.522884,82,2.925925
-104.774821,1600,20.06044
-127.535573,78,20.8558
-104.266069,80,21.748913
-90.106381,1600,56.778595
-107.890282,98,57.879607
-104.229299,67,58.646807
-111.847317,1600,95.109349
-99.256075,88,96.055455
-117.523858,58,96.660235
-107.25831,64,97.383775
-101.684127,60,97.962387
-102.322042,79,98.819336
-100.058189,64,99.543273
-109.771266,75,100.391063
-102.470325,1600,135.807442
-113.289535,1600,170.899881
-110.626998,63,171.554878
-102.260311,115,172.793669
-109.326261,108,173.992154
-105.338849,103,175.139179
-110.347824,47,175.606853
-97.922651,1600,210.974524
-121.932257,115,212.199071
-122.929298,92,213.18322
-104.207853,1600,248.182329
-80.908,1600,283.747201
-112.31594,98,284.841244
-106.791894,1600,302.424895
-91.923196,1600,338.191366
-91.254206,1600,373.380796
-104.246845,90,374.404088
-87.908715,1600,410.112114
-73.711389,1600,445.683794
-111.312701,100,446.797635
-80.921105,1600,464.036635
-108.692693,83,464.997618
-80.8145,1600,501.67253
-70.227317,1600,536.98344
-112.283643,138,538.481683
-120.537731,74,539.283765
-75.349302,1600,574.559417
-67.515656,1600,610.048028
-68.730184,1600,626.737515
-47.739827,1600,724.580385
-51.942393,1600,737.536629
-51.676151,1600,750.349113
-51.440437,1600,763.128618
-51.569306,1600,776.086979
-53.852839,1600,789.185038
-51.451805,1600,802.283252
-62.928108,1600,907.346979
-62.174555,1600,922.840053
-67.137225,1600,936.872866
-62.396221,1600,951.254301
-63.558422,1600,964.388167
-68.222032,1600,977.974408
-66.369389,1600,991.097175
-107.166619,59,1508.480749
-67.763078,1600,1525.854383
-112.834256,46,1567.103482
-73.103116,1600,1659.132911
-53.054325,1600,1676.67057
-66.506062,1600,1694.501795
-54.033717,1600,1712.847173
-59.485638,1600,1730.189005
-108.279062,191,1732.356833
-64.069935,1600,1749.654485
-61.444474,1600,1767.456479
-60.769882,1600,1784.866242
-62.088457,1600,1803.952092
-117.948654,69,1804.876817
-63.448025,1600,1822.817215
-52.903901,1600,1840.177141
-64.51838,1600,1857.724417
-66.708975,1600,1874.933567
-96.718032,131,1876.332154
-61.301442,1600,1893.430591
-122.753068,80,1894.32033
-69.365583,1600,1911.794944
-128.640998,113,1913.17664
-115.438794,77,1914.056287
-111.813492,69,1914.766428
-62.388772,1600,1932.150463
-106.634576,68,1932.925329
-71.593884,1600,1950.609873
-60.14502,1600,1967.902917
-66.475125,1600,1985.719123
-116.442457,53,1986.26312
-46.290113,1600,2177.48652
-51.662401,1600,2190.477847
-46.473658,1600,2203.361706
-52.205689,1600,2216.549666
-46.356023,1600,2229.478365
-52.195774,1600,2243.096152
-47.806608,1600,2256.949949
-47.834342,1600,2315.31548
-52.086165,1600,2330.134131
-46.303034,1600,2344.984787
-46.448212,1600,2359.07743
-51.68875,1600,2372.212827
-52.202451,1600,2385.359529
-52.105407,1600,2399.0835
