#{"t_start": 1650127719.715501, "env_id": "BipedalWalker-v3"}
r,l,t
-66.716152,757,116.41243
-71.71984,305,117.210815
-90.850894,149,117.620295
-89.914761,138,118.003767
-92.570105,133,118.381617
-104.639931,53,118.50883
-120.924378,100,118.800094
-109.94983,55,118.946938
-109.808147,50,119.084081
-105.449599,121,119.391056
-107.763977,47,119.517978
-107.27692,44,119.627881
-108.949621,72,119.81427
-114.766008,62,119.977615
-112.955539,57,120.136806
-101.370827,70,120.321406
-106.926851,45,120.442055
-95.406493,90,120.668173
-64.977636,228,121.246541
-57.775285,291,121.965928
-87.665955,182,122.445144
-107.701932,127,122.784126
-110.892915,47,122.898381
-117.310705,67,123.068543
-119.389595,68,123.252946
-112.833517,52,123.384736
-74.841059,449,124.507158
-105.84701,131,124.837861
-107.984501,188,125.31853
-113.463772,51,125.444716
-106.219751,110,125.712464
-105.896188,61,125.874405
-111.255971,67,126.047626
-110.82531,52,126.186697
-106.575324,45,126.29854
-107.185359,45,126.416979
-106.767353,44,126.52764
-107.158978,43,126.647195
-116.473838,75,126.849486
-108.162608,48,126.969419
-108.54612,42,127.08054
-117.770826,60,127.252743
-109.147883,47,127.369974
-106.623076,39,127.47962
-107.381668,42,127.583326
-107.72234,46,127.708659
-108.55546,58,127.863065
-109.352045,50,127.99907
-107.500112,45,128.111279
-107.636537,44,128.241255
-107.25764,45,128.368118
-107.069339,46,128.497809
-114.188501,98,128.749792
-104.592865,91,128.982502
-107.494925,135,129.337625
-108.059899,52,129.460285
-106.781748,46,129.593375
-65.394542,197,130.107298
-79.334767,159,130.52232
-82.799524,153,130.896082
-116.060836,86,131.12377
-109.902106,102,131.387621
-111.245951,44,131.504085
-67.417332,199,131.992737
-47.279112,399,132.984069
-86.144163,132,133.328268
-100.631806,262,133.989223
-32.629344,840,136.135503
-79.360018,199,136.662635
-114.004434,70,136.844541
-83.573879,142,137.211487
-78.218724,286,137.93428
-80.779797,225,138.498909
-115.19559,55,138.629891
-89.096793,214,139.167911
-117.857837,61,139.334343
-50.425575,277,140.01308
-106.973663,45,140.129922
-106.933607,45,140.257941
-118.123339,60,140.410698
-107.69094,46,140.545465
-110.989178,50,140.687289
-109.864469,49,140.834736
-108.057387,45,140.950715
-106.713958,43,141.067742
-109.940609,47,141.190347
-109.269409,43,141.323742
-114.82114,91,141.553058
-112.636673,45,141.669192
-107.288083,37,141.759735
-111.097838,46,141.878304
-110.53014,54,142.010965
-110.533536,39,142.119792
-114.269315,66,142.285037
-110.997553,49,142.412263
-120.865024,72,142.597124
-126.413575,71,142.76389
-115.544462,59,142.917907
-112.537985,91,143.147987
-121.840735,70,143.32951
-117.836218,66,143.507295
-102.911903,1600,147.538538
-163.840148,1600,151.627329
-221.612973,1096,154.436634
-143.115831,1600,158.38399
-131.245369,1600,162.486982
-107.234207,1600,166.497892
-151.16277,914,168.762815
-103.440286,123,169.063205
-103.22451,86,169.2807
-102.094516,69,169.464995
-98.35377,91,169.709537
-98.236692,70,169.889149
-97.823834,112,170.187914
-100.45018,145,170.560513
-108.592376,1600,174.52226
-119.230907,368,175.439587
-101.56982,74,175.640883
-96.644244,108,175.92394
-117.410228,405,176.91754
-99.600635,75,177.110244
-99.680006,86,177.317499
-98.915773,74,177.506465
-100.574113,138,177.841638
-100.147375,77,178.043011
-99.917986,87,178.267395
-97.978489,138,178.609108
-95.995288,103,178.88572
-93.564327,140,179.221327
-98.404478,119,179.507567
-97.290634,76,179.692647
-100.1657,63,179.858311
-97.724343,95,180.078977
-100.383773,88,180.322958
-97.207408,85,180.541887
-142.137046,1600,184.506267
-140.783537,1600,188.48752
-147.34329,874,190.675699
-107.507551,297,191.422866
-93.974704,105,191.682853
-95.060092,130,191.992844
-94.33182,129,192.335603
-101.117357,192,192.788799
-103.570487,294,193.510374
-89.11029,273,194.207902
-99.704297,126,194.515417
-103.549273,169,194.943192
-222.149345,1578,198.874704
-101.39797,61,199.03228
-77.249664,1600,203.129665
-43.132084,1600,207.182922
-29.103142,1600,211.25054
1.603831,1600,215.287916
64.061722,1600,219.248532
-121.204414,100,219.498191
-132.103674,550,220.872936
-104.889495,70,221.068703
-105.146917,57,221.21087
-53.770649,1600,225.283628
-107.805238,45,225.408316
-113.077926,49,225.524804
-132.785814,1600,229.493352
-112.638474,45,229.614689
-105.794676,72,229.802009
-111.422188,43,229.910968
-164.700064,1600,233.861717
-109.163491,41,233.970942
-101.422336,1600,237.990933
-28.821624,1600,241.874721
35.4382,1600,245.878331
-96.98104,129,246.225815
47.597283,1600,250.354495
-107.20693,45,250.471437
-107.117551,45,250.583703
-105.77062,47,250.704778
-107.697347,50,250.833054
-97.617778,538,252.193122
-108.06278,84,252.416615
-115.132416,68,252.577859
-79.075289,700,254.375805
-106.995032,52,254.524404
25.293309,1600,258.599392
-51.606159,1600,262.705869
-48.538674,1600,267.059679
-101.445175,165,267.484959
61.449887,1600,271.626743
118.177443,1600,275.865776
-112.879846,62,276.022021
-108.041455,45,276.152743
-107.579861,45,276.264037
-106.693722,47,276.377007
-107.113402,50,276.518716
-107.977335,46,276.631856
-115.786505,55,276.79593
-108.212387,45,276.906556
-122.280261,66,277.070524
-122.132717,69,277.255388
-106.095997,49,277.373838
-114.350505,54,277.529304
-108.504118,48,277.642689
-107.200514,48,277.767588
-107.758556,51,277.881703
-107.077591,43,278.037874
-109.118787,46,278.149859
-108.930796,44,278.305557
-116.364811,72,278.504106
-107.015948,43,278.65839
-104.942895,102,278.953274
-107.164245,47,279.071674
-69.457693,323,279.904088
-115.10335,49,280.060011
-106.929128,43,280.169722
-120.491459,92,280.423073
-109.89595,67,280.592684
-81.380062,244,281.228602
-87.062525,196,281.728479
-106.25491,40,281.844305
-106.800665,43,281.961339
-116.356823,81,282.175017
-94.052594,394,283.193428
-107.190972,72,283.396193
-113.832411,63,283.560455
-123.072396,133,283.917569
-114.068876,128,284.247734
